,Iteration,Delagation Start,Delegation End,Delegation Time Taken,Verification Start,Verification End,Verification Time Taken,Total Time Taken
1,1,12837.799999952316,13046.899999976158,209.10000002384183,13048.299999952316,13205.099999964235,156.80000001192093,365.9000000357628
2,2,13205.19999998808,13374.299999952316,169.0999999642372,13377.399999976158,13547.899999976158,170.5,339.5999999642372
3,3,13548.0,13711.399999976158,163.39999997615814,13714.099999964235,13882.299999952316,168.19999998807907,331.5999999642372
4,4,13882.299999952316,14073.299999952316,191.0,14076.599999964235,14232.599999964235,156.0,347.0
5,5,14232.799999952316,14396.599999964235,163.80000001192093,14399.69999998808,14553.799999952316,154.0999999642372,317.89999997615814
6,6,14554.0,14759.69999998808,205.69999998807907,14762.19999998808,14923.799999952316,161.5999999642372,367.2999999523163
7,7,14923.899999976158,15074.0,150.10000002384186,15077.19999998808,15241.0,163.80000001192093,313.9000000357628
8,8,15241.099999964235,15409.5,168.4000000357628,15412.399999976158,15572.299999952316,159.89999997615814,328.30000001192093
9,9,15572.299999952316,15730.0,157.70000004768372,15733.0,15895.19999998808,162.19999998807907,319.9000000357628
10,10,15895.19999998808,16069.299999952316,174.0999999642372,16073.399999976158,16229.099999964235,155.69999998807907,329.7999999523163
11,11,16229.299999952316,16384.5,155.20000004768372,16387.5,16540.599999964237,153.0999999642372,308.30000001192093
13,13,16929.0,17088.0,159.0,17089.5,17261.099999964237,171.5999999642372,330.5999999642372
14,14,17261.19999998808,17422.69999998808,161.5,17424.399999976158,17586.0,161.60000002384186,323.10000002384186
15,15,17586.19999998808,17769.0,182.80000001192093,17771.099999964237,17933.899999976158,162.80000001192093,345.60000002384186
16,16,17933.899999976158,18108.39999997616,174.5,18111.39999997616,18274.5,163.10000002384186,337.60000002384186
17,17,18274.599999964237,18431.299999952316,156.69999998807907,18434.599999964237,18596.89999997616,162.30000001192093,319.0
18,18,18596.89999997616,18745.099999964237,148.19999998807907,18748.0,18904.799999952316,156.79999995231628,304.99999994039536
19,19,18904.89999997616,19066.299999952316,161.39999997615814,19069.0,19220.19999998808,151.19999998807907,312.5999999642372
20,20,19220.39999997616,19377.39999997616,157.0,19380.599999964237,19535.89999997616,155.30000001192093,312.30000001192093
21,21,19535.89999997616,19712.39999997616,176.5,19714.299999952316,19882.5,168.20000004768372,344.7000000476837
22,22,19882.5,20076.599999964237,194.0999999642372,20080.299999952316,20245.0,164.70000004768372,358.80000001192093
23,23,20245.299999952316,20410.599999964237,165.30000001192093,20412.89999997616,20570.19999998808,157.30000001192093,322.60000002384186
24,24,20570.39999997616,20736.19999998808,165.80000001192093,20739.0,20900.099999964237,161.0999999642372,326.89999997615814
25,25,20900.39999997616,21062.799999952316,162.39999997615814,21065.799999952316,21220.099999964237,154.30000001192093,316.69999998807907
26,26,21220.299999952316,21378.799999952316,158.5,21381.5,21540.0,158.5,317.0
27,27,21540.099999964237,21716.299999952316,176.19999998807907,21718.599999964237,21877.099999964237,158.5,334.69999998807907
28,28,21877.299999952316,22034.5,157.20000004768372,22037.099999964237,22194.19999998808,157.10000002384186,314.3000000715256
29,29,22194.299999952316,22351.099999964237,156.80000001192093,22354.099999964237,22515.299999952316,161.19999998807907,318.0
30,30,22515.69999998808,22672.599999964237,156.89999997615814,22675.19999998808,22846.0,170.80000001192093,327.69999998807907
31,31,22846.0,22997.299999952316,151.29999995231628,23000.69999998808,23155.099999964237,154.39999997615814,305.6999999284744
32,32,23155.099999964237,23310.799999952316,155.69999998807907,23312.099999964237,23473.599999964237,161.5,317.19999998807907
33,33,23473.69999998808,23626.19999998808,152.5,23629.299999952316,23799.799999952316,170.5,323.0
34,34,23799.89999997616,23960.599999964237,160.69999998807907,23962.299999952316,24115.799999952316,153.5,314.19999998807907
35,35,24115.89999997616,24288.799999952316,172.89999997615814,24291.0,24444.39999997616,153.39999997615814,326.2999999523163
36,36,24444.799999952316,24601.89999997616,157.10000002384186,24604.69999998808,24771.5,166.80000001192093,323.9000000357628
37,37,24771.599999964237,24923.299999952316,151.69999998807907,24925.099999964237,25080.19999998808,155.10000002384186,306.80000001192093
38,38,25080.299999952316,25250.19999998808,169.9000000357628,25252.5,25417.19999998808,164.69999998807907,334.60000002384186
39,39,25417.799999952316,25579.5,161.70000004768372,25582.19999998808,25743.39999997616,161.19999998807907,322.9000000357628
40,40,25743.5,25911.0,167.5,25918.89999997616,26095.799999952316,176.89999997615814,344.39999997615814
41,41,26097.799999952316,26251.5,153.70000004768372,26253.89999997616,26408.299999952316,154.39999997615814,308.10000002384186
42,42,26408.299999952316,26590.099999964237,181.80000001192093,26592.89999997616,26748.799999952316,155.89999997615814,337.69999998807907
43,43,26748.89999997616,26911.099999964237,162.19999998807907,26914.89999997616,27076.39999997616,161.5,323.69999998807907
44,44,27076.39999997616,27264.099999964237,187.69999998807907,27266.799999952316,27425.799999952316,159.0,346.69999998807907
46,46,30589.5,30836.599999964237,247.0999999642372,30839.799999952316,31014.89999997616,175.10000002384186,422.199999988079
47,47,31015.299999952316,31280.799999952316,265.5,31291.89999997616,31455.599999964237,163.69999998807907,429.199999988079
49,49,32022.599999964237,32212.89999997616,190.30000001192093,32217.89999997616,32392.599999964237,174.69999998807907,365.0
50,50,32392.799999952316,32824.09999996424,431.300000011921,32836.19999998808,33005.89999997616,169.69999998807907,601.0
51,51,33008.299999952316,33371.89999997616,363.60000002384186,33387.0,33570.5,183.5,547.1000000238419
53,53,34046.5,34360.799999952316,314.2999999523163,34364.299999952316,34518.0,153.70000004768372,468.0
54,54,34518.5,34815.19999998808,296.69999998807907,34824.09999996424,35005.89999997616,181.80000001192093,478.5
55,55,35007.59999996424,35304.59999996424,297.0,35312.299999952316,35466.39999997616,154.10000002384186,451.10000002384186
56,56,35466.5,35770.799999952316,304.2999999523163,35775.19999998808,35940.299999952316,165.0999999642372,469.3999999165535
57,57,35940.59999996424,36230.5,289.9000000357628,36233.29999995232,36398.0,164.70000004768372,454.6000000834465
58,58,36399.39999997616,36720.29999995232,320.89999997615814,36736.29999995232,36897.09999996424,160.80000001192093,481.699999988079
59,59,36898.19999998808,37201.89999997616,303.69999998807907,37206.39999997616,37369.0,162.60000002384186,466.300000011921
60,60,37369.19999998808,37674.19999998808,305.0,37676.59999996424,37831.19999998808,154.60000002384186,459.60000002384186
61,61,37831.59999996424,38106.69999998808,275.10000002384186,38111.89999997616,38288.19999998808,176.30000001192093,451.4000000357628
62,62,38291.0,38582.69999998808,291.69999998807907,38585.79999995232,38738.79999995232,153.0,444.699999988079
63,63,38739.19999998808,39080.19999998808,341.0,39086.5,39238.19999998808,151.69999998807907,492.699999988079
64,64,39238.39999997616,39533.0,294.60000002384186,39537.69999998808,39701.59999996424,163.89999997615814,458.5
65,65,39703.09999996424,40013.09999996424,310.0,40016.19999998808,40165.09999996424,148.89999997615814,458.89999997615814
66,66,40165.29999995232,40449.69999998808,284.4000000357628,40453.29999995232,40611.59999996424,158.30000001192093,442.7000000476837
67,67,40612.5,40892.19999998808,279.69999998807907,40895.5,41057.0,161.5,441.199999988079
68,68,41057.79999995232,41372.5,314.7000000476837,41374.59999996424,41522.29999995232,147.69999998807907,462.4000000357628
69,69,41522.39999997616,41832.5,310.10000002384186,41836.5,42004.39999997616,167.89999997615814,478.0
